fname,bbox,class_id,class_name
00001.jpg,"{'x1': np.uint8(39), 'y1': np.uint8(116), 'x2': np.uint16(569), 'y2': np.uint16(375)}",14,Audi TTS Coupe 2012
00002.jpg,"{'x1': np.uint8(36), 'y1': np.uint8(116), 'x2': np.uint16(868), 'y2': np.uint16(587)}",3,Acura TL Sedan 2012
00003.jpg,"{'x1': np.uint8(85), 'y1': np.uint8(109), 'x2': np.uint16(601), 'y2': np.uint16(381)}",91,Dodge Dakota Club Cab 2007
00004.jpg,"{'x1': np.uint16(621), 'y1': np.uint16(393), 'x2': np.uint16(1484), 'y2': np.uint16(1096)}",134,Hyundai Sonata Hybrid Sedan 2012
00005.jpg,"{'x1': np.uint8(14), 'y1': np.uint8(36), 'x2': np.uint8(133), 'y2': np.uint8(99)}",106,Ford F-450 Super Duty Crew Cab 2012
00006.jpg,"{'x1': np.uint16(259), 'y1': np.uint16(289), 'x2': np.uint16(515), 'y2': np.uint16(416)}",123,Geo Metro Convertible 1993
00007.jpg,"{'x1': np.uint8(88), 'y1': np.uint8(80), 'x2': np.uint16(541), 'y2': np.uint16(397)}",89,Dodge Journey SUV 2012
00008.jpg,"{'x1': np.uint8(73), 'y1': np.uint8(79), 'x2': np.uint16(591), 'y2': np.uint16(410)}",96,Dodge Charger Sedan 2012
00009.jpg,"{'x1': np.uint8(20), 'y1': np.uint8(126), 'x2': np.uint16(1269), 'y2': np.uint16(771)}",167,Mitsubishi Lancer Sedan 2012
00010.jpg,"{'x1': np.uint8(21), 'y1': np.uint8(110), 'x2': np.uint16(623), 'y2': np.uint16(367)}",58,Chevrolet Traverse SUV 2012
00011.jpg,"{'x1': np.uint8(51), 'y1': np.uint8(93), 'x2': np.uint16(601), 'y2': np.uint16(393)}",49,Buick Verano Sedan 2012
00012.jpg,"{'x1': np.uint8(6), 'y1': np.uint8(62), 'x2': np.uint16(499), 'y2': np.uint16(286)}",186,Toyota Sequoia SUV 2012
00013.jpg,"{'x1': np.uint8(30), 'y1': np.uint8(36), 'x2': np.uint16(418), 'y2': np.uint16(307)}",135,Hyundai Elantra Sedan 2007
00014.jpg,"{'x1': np.uint8(31), 'y1': np.uint8(246), 'x2': np.uint16(778), 'y2': np.uint16(540)}",85,Dodge Caravan Minivan 1997
00015.jpg,"{'x1': np.uint8(32), 'y1': np.uint8(77), 'x2': np.uint16(589), 'y2': np.uint16(379)}",193,Volvo C30 Hatchback 2012
00016.jpg,"{'x1': np.uint8(27), 'y1': np.uint8(49), 'x2': np.uint16(611), 'y2': np.uint16(396)}",172,Plymouth Neon Coupe 1999
00017.jpg,"{'x1': np.uint8(39), 'y1': np.uint8(52), 'x2': np.uint8(233), 'y2': np.uint8(150)}",14,Audi TTS Coupe 2012
00018.jpg,"{'x1': np.uint8(3), 'y1': np.uint8(8), 'x2': np.uint8(190), 'y2': np.uint8(147)}",73,Chevrolet Malibu Sedan 2007
00019.jpg,"{'x1': np.uint8(247), 'y1': np.uint16(287), 'x2': np.uint16(1366), 'y2': np.uint16(761)}",192,Volkswagen Beetle Hatchback 2012
00020.jpg,"{'x1': np.uint8(17), 'y1': np.uint16(281), 'x2': np.uint16(961), 'y2': np.uint16(596)}",57,Chevrolet Corvette Ron Fellows Edition Z06 2007
00021.jpg,"{'x1': np.uint8(17), 'y1': np.uint8(156), 'x2': np.uint16(695), 'y2': np.uint16(375)}",79,Chrysler 300 SRT-8 2010
00022.jpg,"{'x1': np.uint8(212), 'y1': np.uint16(538), 'x2': np.uint16(1893), 'y2': np.uint16(1131)}",36,BMW M6 Convertible 2010
00023.jpg,"{'x1': np.uint8(11), 'y1': np.uint8(28), 'x2': np.uint16(476), 'y2': np.uint8(234)}",120,GMC Yukon Hybrid SUV 2012
00024.jpg,"{'x1': np.uint8(53), 'y1': np.uint8(126), 'x2': np.uint16(973), 'y2': np.uint16(621)}",170,Nissan Juke Hatchback 2012
00025.jpg,"{'x1': np.uint8(34), 'y1': np.uint8(87), 'x2': np.uint16(567), 'y2': np.uint16(343)}",194,Volvo 240 Sedan 1993
00026.jpg,"{'x1': np.uint8(30), 'y1': np.uint8(174), 'x2': np.uint16(598), 'y2': np.uint16(379)}",134,Hyundai Sonata Hybrid Sedan 2012
00027.jpg,"{'x1': np.uint8(80), 'y1': np.uint8(107), 'x2': np.uint16(606), 'y2': np.uint16(336)}",184,Suzuki SX4 Sedan 2012
00028.jpg,"{'x1': np.uint8(45), 'y1': np.uint8(115), 'x2': np.uint16(585), 'y2': np.uint16(382)}",86,Dodge Ram Pickup 3500 Crew Cab 2010
00029.jpg,"{'x1': np.uint8(28), 'y1': np.uint8(139), 'x2': np.uint16(1564), 'y2': np.uint16(1126)}",180,Spyker C8 Coupe 2009
00030.jpg,"{'x1': np.uint8(82), 'y1': np.uint8(109), 'x2': np.uint16(874), 'y2': np.uint16(521)}",194,Volvo 240 Sedan 1993
00031.jpg,"{'x1': np.uint8(55), 'y1': np.uint16(318), 'x2': np.uint16(446), 'y2': np.uint16(564)}",154,Land Rover Range Rover SUV 2012
00032.jpg,"{'x1': np.uint8(12), 'y1': np.uint8(31), 'x2': np.uint16(471), 'y2': np.uint16(350)}",139,Hyundai Elantra Touring Hatchback 2012
00033.jpg,"{'x1': np.uint8(34), 'y1': np.uint8(197), 'x2': np.uint16(1011), 'y2': np.uint16(656)}",66,Chevrolet Cobalt SS 2010
00034.jpg,"{'x1': np.uint8(37), 'y1': np.uint8(63), 'x2': np.uint16(614), 'y2': np.uint16(397)}",133,Hyundai Veracruz SUV 2012
00035.jpg,"{'x1': np.uint8(223), 'y1': np.uint8(87), 'x2': np.uint16(1111), 'y2': np.uint16(670)}",154,Land Rover Range Rover SUV 2012
00036.jpg,"{'x1': np.uint8(138), 'y1': np.uint8(41), 'x2': np.uint16(521), 'y2': np.uint8(223)}",104,Ferrari 458 Italia Coupe 2012
00037.jpg,"{'x1': np.uint8(31), 'y1': np.uint8(87), 'x2': np.uint16(616), 'y2': np.uint16(344)}",38,BMW Z4 Convertible 2012
00038.jpg,"{'x1': np.uint8(16), 'y1': np.uint8(89), 'x2': np.uint16(459), 'y2': np.uint16(326)}",97,Dodge Charger SRT-8 2009
00039.jpg,"{'x1': np.uint8(53), 'y1': np.uint8(113), 'x2': np.uint16(614), 'y2': np.uint16(350)}",105,Fisker Karma Sedan 2012
00040.jpg,"{'x1': np.uint8(214), 'y1': np.uint8(110), 'x2': np.uint16(660), 'y2': np.uint16(403)}",142,Infiniti QX56 SUV 2011
00041.jpg,"{'x1': np.uint8(61), 'y1': np.uint8(55), 'x2': np.uint16(566), 'y2': np.uint16(408)}",13,Audi A5 Coupe 2012
00042.jpg,"{'x1': np.uint8(28), 'y1': np.uint8(61), 'x2': np.uint16(622), 'y2': np.uint16(371)}",191,Volkswagen Golf Hatchback 1991
00043.jpg,"{'x1': np.uint8(22), 'y1': np.uint8(39), 'x2': np.uint16(588), 'y2': np.uint16(362)}",119,GMC Savana Van 2012
00044.jpg,"{'x1': np.uint8(220), 'y1': np.uint8(193), 'x2': np.uint16(537), 'y2': np.uint16(364)}",38,BMW Z4 Convertible 2012
00045.jpg,"{'x1': np.uint8(12), 'y1': np.uint8(108), 'x2': np.uint16(489), 'y2': np.uint16(297)}",186,Toyota Sequoia SUV 2012
00046.jpg,"{'x1': np.uint8(28), 'y1': np.uint8(80), 'x2': np.uint16(759), 'y2': np.uint16(466)}",25,Audi TT RS Coupe 2012
